total_price,unit_price
80,15356
54,6778
53,5860
40,8420
105,21455
52,17592
129,17137
89.8,14967
80,13378
143,14020
63,8090
226,21524
89,10172
135,15181
115,12099
96,13835
68.5,10654
109.8,13327
56,6096
136,15634
168,18527
165,11957
272,23090
101,13080
32,6585
79,9050
73.5,8286
90,10345
39,6886
85.5,13994
149.5,15163
135,15568
163,18460
88,11578
71.8,13206
85,14027
124,14091
72,12858
115,14512
27,5076
138,15595
195,22160
85,9648
75,6111
159.8,16816
199,21220
90,15325
68.8,13133
86,16224
69.1,12115
69.8,13770
228,35968
126.8,24241
39.4,9922
142,27986
212,16847
206.5,18408
76.8,11637
56,10571
202,24923
98,10858
47,14317
192,16762
42.5,11185
212,34869
215,25345
126,14016
890,47093
63,14460
117,13002
65.5,9356
97.8,10397
51.5,11250
148.8,17513
77,8325
64,8191
262,31021
62.5,13172
186,19913
283,25635
104.9,12198
68,12025
58,16408
80,14599
52,10334
210,39422
37.7,4436
345,32764
129.5,14291
75,12076
106.5,12218
94.5,13003
127,14102
95,17016
135,23113
84.5,15944
275,28165
192,23781
127,12331
92.5,12509
209,41321
83,12731
93.8,17579
91.5,14039
28,4870
83,10106
91,13383
142.9,10867
88,10853
205,23138
86,15465
191,15208
96.6,16954
89,12362
63.5,15069
159,14723
135,15111
98,16580
142,15571
82,16804
83,15419
185,21023
220,35802
130,20741
96,15095
66,12606
37,10452
102,18095
44,9225
73,9356
46,8686
83,12411
122,15304
103,21190
48,12122
38,7799
208,22504
83.8,16954
120,13114
83,13424
180,20520
315,20380
60.5,6050
130,15566
105,22997
72.8,13547
75,20260
79,10447
138,27512
152,15616
132,14769
76,15511
35.8,7160
62.3,8497
95.8,10302
61.5,11472
98,13720
68.8,8690
145,18416
116,12567
272,24728
120,12996
73.5,10546
135,16458
104,12797
108,12273
78,13419
155,19748
132.8,18207
49.8,15563
262,16904
76,14028
101,7167
82.5,11011
98,18125
102.8,13930
50,10209
99,12474
67,9289
104.5,14694
119,13616
216,23779
68.8,13244
113.8,12906
143,14898
136,18782
568,34127
378,23374
78,8708
90,12356
142,16277
63,11436
120,16190
178,20260
228,20445
138,28883
165,13023
48,9057
70,8115
139.8,16759
58,5772
73.8,8983
152,17595
136,12838
130,16846
159,27447
93,13271
102,10568
275,23294
64,8206
73.8,13111
50,10459
115,13069
97,8068
213,24164
128,20000
180,22201
56,9151
139,22064
122,17237
70,14410
172,35103
58.5,7190
265,18580
209,15535
270,23101
43.5,10028
188,12578
55,11040
95,15847
38.5,7481
72.8,14803
393.8,23448
138,15445
115,15220
115,11326
218,27250
88.5,14869
132,16431
210,22159
39.5,4541
123,16758
29,6093
76.8,13106
132,24855
125,16599
140,14737
99.7,12986
57,6871
75,14764
61.8,9625
131,18035
129,13912
195,21349
69.8,13273
450,23918
95,10161
37,6216
293,18466
96.8,12657
125,14617
114,13961
66,6169
265,23048
117,14445
65,6633
150,26404
120,14779
72.5,13994
161.5,15274
170,19010
119,30694
105,18509
82.8,8297
102.5,11680
116,10820
70,9473
153,16150
339,25603
103,13486
247,17083
82,21355
47.5,9358
125,19261
74,13858
48,8792
49,11762
71.6,13312
85,8450
239,24974
96.6,17186
125.8,12027
145,29430
132,28164
179,26456
80,13560
59,14419
88,13417
117.9,13183
82,15276
106.9,11756
132,26280
71,18252
78,17376
74.3,13760
275.8,29347
123,18555
52,9481
106,11785
128.6,12302
91,17622
75,9295
68,10130
90,11033
66.5,12361
126,17438
39,9490
267,24900
105,20735
198,15343
178,19488
415,30741
88,15856
47.5,9048
80,15083
76.5,10106
69.8,12869
159.8,17159
88,12940
119,16544
107,19084
140,15330
53,8898
91,12877
190,26028
166,14077
139,16671
69,13283
98.8,12782
153,13266
40,10107
79,9036
99,12553
60,7679
270,22995
135,16364
73,14261
225,22278
149,15430
134,12466
196,14660
123.8,13175
75,7911
108,14187
59.5,13182
136,21629
77,16408
73,13717
187,22404
145,14881
130,10205
189,15211
83.8,11678
126,15900
59,8881
92,12025
66,8322
410,36377
89.8,12054
79.8,9697
236,26199
260,13639
138,13821
92.5,16737
56,11120
88.8,11917
145,28488
65,12980
75,6366
70,19456
55,7880
76,8736
173,14787
155,13717
289,24701
209,40981
62.5,11057
86,14277
105,9125
115,14263
125,12136
56.2,14272
155,17416
102.8,12912
106.5,13392
75,20719
98.8,13654
118,9123
149,19825
285,24952
175,17727
124,15174
85,11573
84,12801
116.8,13857
71,11913
166,16436
60,10994
94,15512
88.5,14535
65,12500
26,3158
78,8430
65,6500
127,26542
87,15456
204,16435
230,27631
114.5,9028
107,13279
185,15239
132,28357
85,9445
52,8940
94,12441
60,12868
265,18951
65,10069
145,16169
38,3585
158,16459
164,9579
150,11812
105,17731
115,13567
282,20000
89,12993
185,14698
46.5,9755
145,27885
130,14795
166,20855
78,14875
68.5,6633
118,16757
119.8,16269
87.8,17659
96.8,9380
54,8792
103.9,11969
110.8,14426
143,28195
92,11659
63,9546
82,13246
82,14022
100,14635
87.5,16827
70,14416
72,13011
180,17308
269,26376
175,25217
84.6,15299
128,11858
215,20749
80,21053
70,14000
99.8,11913
256,27527
76,12928
229,16913
128,8391
73.5,13340
70,10554
51,8151
63,9977
128,14839
147,18180
51,10094
104,9812
68.8,8047
113,11536
121,13006
82.8,13065
72.8,9579
59.8,10538
62,10945
78,15161
52,13717
127.5,16814
80,12308
120,13091
37,4405
96,13151
120,20138
172,24802
150,16499
103,13714
299,23551
84,18486
132,12485
76,8346
26,5585
79,13998
73,15237
75,10924
158,17257
106,13826
267.8,28796
77,13782
98.8,14342
135,15546
49.8,10574
65,12448
215,24659
28,6547
107,12680
69.8,13986
149.5,20477
80,14462
122,15258
144.8,18565
130.8,9176
70,16133
69.8,9583
83,15337
108,15235
29.8,4807
55.8,8226
108,15291
72.5,9173
55.5,6099
83,13503
118,15417
50,5814
132,16924
79,9680
102,15288
73,15791
80,9984
105,13211
136,15281
65,7832
175,18818
85,11341
71.5,15246
109,12536
88.5,11999
191,19459
96.5,13796
80,12500
92.8,14319
92,11980
62.8,14605
122,15397
97,19020
270,28918
60.8,10779
69.8,11443
107,13441
126,14046
95.5,14379
92,10197
121.5,12896
30.8,9744
81.8,9809
85,18559
96,14482
75.5,9744
81,18846
58.5,11555
116,11017
92.5,13032
128,14124
79,9077
296,22095
69.8,12216
43,13796
58,14357
108,15110
105,12856
125,12489
69.8,14159
64.8,9530
80,9549
132,15818
80,15403
68,9062
75.5,15091
69,10522
65,12038
113,11189
76,12064
94,13491
67,9782
34.5,4735
35.5,4632
75,10370
105,30631
68.5,8748
77,16109
45,5515
120,13282
129.5,9113
45.5,8585
126.6,15445
109,15621
158,16067
134,17244
78,14717
95,13315
67.8,14205
199,21398
98,8168
52.8,8537
135,14454
43,7676
73.8,15446
105,13607
75,14429
83.8,10619
74.5,8455
32,6884
51.5,12360
228,23506
133,18345
89.8,10462
67,8130
139,29657
89,17390
149,18890
60,8925
43,6464
95,10329
68,8500
108,12297
275,28948
37.6,8658
54,13397
113,10190
31,5917
134,13828
60,7615
69.9,11055
139,15500
125,20395
77.9,16786
169,19495
152,17561
98.5,12929
153,17458
208,25965
63,13634
95,16110
43,10481
76.8,11567
93.8,12623
51,8500
75,14578
96,9767
91,14973
128,11141
75.2,15560
104,15625
188,10911
332,33065
73.5,11732
162,21347
289,26573
432,24686
46.8,5259
110.8,12645
125,21930
71.5,12653
71.8,12708
51.5,8300
56,5958
93.8,11934
179,21124
135,24242
114.5,12940
55,11000
116,11880
77.5,9337
248,24963
375,28867
109,18231
75,9282
65.8,12052
26.5,6976
71,19205
45,13003
90,13819
45,7378
173,20844
172,18949
95,14432
109,12502
96.8,13404
46,7200
63,17361
65,12500
65,9104
71.5,14835
44,8430
97,10740
68,9116
139,12464
173,15597
178,20986
132.8,12583
144.8,15322
97,14022
165,17035
58.8,14190
217,22243
210,16800
45.8,10767
55,9210
55,13679
30.5,6657
135,11884
60,11091
290,32038
174.6,20139
152,19161
114,20000
125,10816
56,13382
74.8,14946
116,19042
249.9,23139
163,20216
80.5,19702
83,10252
138,15389
155,28989
68.5,10287
95,15513
80,14405
249,21466
125,17124
135.8,13856
255,22456
58,7389
42,14384
39,7489
78.5,14046
66.5,13359
102,8661
90,12803
130,14665
72,11921
72,11077
65,14249
225,20455
53,8379
89,12146
82.5,15456
82,14693
90,16667
188,25754
68,9298
130,26788
228,39833
152,23031
54,10189
430,32576
235,24932
63,14689
85.5,11838
159.9,20378
78,14572
63.8,13575
67.5,6327
153,12967
106,10974
248,20652
152,12890
82,14757
115,15501
55,16177
85.8,11418
70,19017
404,27483
129.8,17079
70,9572
63,16154
148,29003
128,14312
165,18649
55,8786
130,18310
76.5,11155
49.9,9059
100,8002
130,16597
51.5,11157
58,9961
69.8,12808
115,18549
59,12279
39,10590
96,19155
135,14382
60,10505
82,19962
92,10018
117,14533
70,18258
75,8001
50,8861
91,13516
102,18865
233,29991
85,13525
75,11873
95,14054
99,12276
114,15889
43.9,5165
96,12032
368,32026
103,15291
67.5,12736
52,8000
31,6721
37,6435
132,15197
97.8,16805
46.5,4965
49.8,16302
132,14759
139,18658
162,12858
91.6,17329
68.8,11175
84,15413
89.8,13261
55,14190
62,13567
132,13998
265,23708
230,22900
242,20469
295,21983
92,13249
79,9754
228,26537
72,7234
145,16044
74,19024
65,9559
60,7849
60,9226
112,14691
48.8,13751
148,30738
175,21044
87,15679
55,11928
130,26242
55,9607
117,14662
78,15997
94,16553
235,23825
325,22975
75.8,12896
48.8,7673
127,14262
81.8,12937
163,20823
235,16611
225,18219
156,18995
63.5,10015
49,9795
88,9381
49,13008
66.5,12999
34.5,10877
78,15000
53,6386
240,24490
45.5,8115
155,17169
86.8,14005
89,16019
67,15063
130,13685
71.5,15239
79,12540
122,15304
195,13426
218,19289
95,11463
59,7867
148,14106
125,30466
43,7606
29.8,7404
122,23704
64.5,10574
128,20841
153,25823
68,13192
62,8379
117.5,13906
78,8572
73,10429
97.3,15119
78,10993
42,4668
105,11021
59,7864
58,10087
88,16376
154.8,16532
58.5,11038
60,8450
59,6300
92,25338
67.8,12441
78,15467
61,14724
65.5,8383
77.5,18163
139,14883
32.5,7966
128,13962
116,13753
107.5,13781
88,10524
132,14787
99.8,14803
71.5,16679
51.5,11628
132,15229
65,9314
103.8,12585
41,8336
63,13158
60,7793
80,14337
80,12052
45,13898
65,9350
127,14001
110,12360
96,13936
36.8,4905
155,17120
169,25977
48,5043
62,8505
130,21084
112,25754
52,12846
111,17536
87,20257
209,23664
66,8688
74,12586
128,13028
88,11025
169.9,19140
55,8430
44,7858
85,13894
30,6855
149,21201
115,14135
40,8786
88,14252
35,7283
79,16504
153,11338
96,28479
49.5,14466
79,9509
57.8,7033
66,7034
37,5279
43,4507
59.8,8199
110.8,16725
179,29201
112.5,10780
116.8,11662
55.5,6753
105,11490
199.8,16722
159,17145
78,9157
81.5,11486
55,4955
132,7152
34,5330
121,9030
155,14827
255,20425
62,6319
131,16765
96,16854
170,15571
45.5,8378
56.8,14297
89.9,13831
116,25339
83.8,15993
70,9947
145,16139
79.8,16557
140,27280
88,9829
63.8,15148
94.5,9663
110,15751
42,7891
107,11161
80,9714
76,9310
188,20471
139.8,14873
64,9841
93,11310
38.8,7668
69,14375
193,27972
126,13742
77,9036
69.5,11355
79.8,12274
39.5,7177
83,10536
72,8234
50,8599
153,14646
79.5,11778
97.5,12176
208,22032
71,8926
52,8814
74,9165
158.8,16387
161.5,17858
163,19725
120,23447
286,27903
116.5,15010
67,15179
97.5,17070
99.8,16239
95.9,12048
54,8800
69,12656
99,12811
77.5,9524
75,9673
49,8203
155,14910
110,12287
55,11905
32.5,8555
65,10746
130,17014
120,13748
130,17806
18.8,5000
75,17023
110,13018
139,14069
57,13074
124.5,20809
38.5,6724
92.8,17075
79.8,9500
143,14896
72,9095
67,8171
60,5455
117,15307
51.5,9868
111,11609
64.8,10479
74.9,8512
87,11537
187,24426
71.5,9931
39.8,5080
96,10896
78,11056
72,9008
161,11538
123,16604
152.9,15230
74,8594
114,13370
103,14376
69.5,9249
150,18034
69,16006
112,11192
126,16364
69.8,14976
151,14804
51,7328
52,7716
89,12715
80.5,12251
60.5,8800
47.9,12946
66.4,14125
93,9460
130,32123
143,15742
68.5,13232
83.8,15292
105,13554
77,14978
119.4,12980
65,14773
168,25034
132,21020
118,14599
51,8160
71,10607
62.9,13586
83.5,12997
69.6,9972
56.8,12421
61,11818
122,15648
145,15264
35,9091
97,15471
34.2,6851
47.5,9285
211,19188
78,8710
117,17118
66,9271
70,9947
58,8150
78,9808
89,11542
89,13735
276,22421
48.5,9771
65.8,9588
89.8,12588
46.8,9540
188,20277
44.8,13318
125,20775
40,8404
160,13972
53,13452
30.8,7513
125,14056
57,12468
67.5,18303
45,8583
88.5,17072
74,9867
19.5,4334
72,14395
168,26457
69.5,15792
76,14902
49.7,10396
81,13120
77,8387
146,14861
49,7613
87.8,13838
59.8,11880
57,10589
100,15143
51,4723
128,21466
89,15441
78.5,14611
105.9,15105
57,6064
27,4737
79,22741
36,8675
117,14854
88,16833
190,20328
163.8,18644
95,11558
231,43098
103.5,11714
128,13855
118,16055
87,11816
99,14589
21,6000
82,15288
96.5,16913
63,9523
56,9334
67.5,10990
72,12000
30.8,7496
102,13128
61,9100
89,13465
115,17512
55.5,12683
83.8,12324
50,8748
72.3,12824
52,11613
45,6351
45,9528
69,13456
62,13754
29.6,10572
258,27156
120,12969
63,11887
109,16824
75.8,23666
82,15397
80,14213
42.5,9212
148,14749
69.5,14242
114.5,13056
69,11922
95,16711
82,10024
140,14942
55,6496
70.8,9418
44.8,13374
75,14488
71.5,28820
71,15299
160,14815
68,13075
64,5518
146,16771
58.5,15576
97.8,11211
76,8883
75,8323
42.5,8174
156,18612
88,14648
66.8,14444
130,15477
99,13013
70,8046
71,16255
109.5,18655
76.8,12038
79.8,11874
61.5,8103
108,7163
118,13203
114.5,15154
50,8861
100,11610
325,28509
46.6,12764
228,22846
139,24933
79.8,13195
29,8629
92,12313
86,20555
189,19537
76.5,12219
95,13587
114,13653
79.5,11204
125,14976
86.8,8813
97.5,16960
96.5,9369
215,33490
158,20128
49,5227
72,14487
112,12811
86,18003
51,8628
71,10621
125,16217
86.5,7724
155.6,15581
75,13889
119,20170
68,13321
48,16189
221,41472
65,12664
112,16896
50,10937
58,8657
29,6381
100.5,12552
147,17971
33.8,5200
90,11600
85,17162
268,27071
105,14174
38.5,8863
125,14694
74.8,14443
83,18339
82,21619
85.3,7050
74,10388
69.5,8688
530,26683
205,21579
185,32332
78,7429
46,8289
78,8895
61,10611
92,12567
67.8,17966
74.8,11320
36.5,5531
76.2,14694
43.5,9627
88,10944
175,20839
119,12179
258,23398
86,18993
103,14522
57,14767
52.5,6177
88,9264
92,27244
88,10865
89,10335
74.5,12017
84,9925
68,13471
30,9268
125,15452
79,12154
83,8093
161.9,20241
84,14929
85,13282
88,17496
96,12171
107,25858
98,12421
158,18407
98,14120
148.8,16227
71,8527
189.5,14720
155,18635
96.5,10672
95,18982
178,18979
166,19059
78,10420
165,20556
83.5,17024
110,24018
133,15358
215,25544
67.2,13891
82.8,12983
139.8,14099
149,17328
209,25488
113,13553
127.5,23699
53,14822
82,12429
106,12585
185,23755
66,18380
40,10031
99.8,13368
48.2,10955
78,7083
189,21000
112,16356
19.8,4400
83.8,12975
91,18455
47,12428
85,11068
205,24443
139,27070
41,10169
73,13605
48.8,12578
70,14490
107,13296
120,30242
85,20024
80,9102
150,16358
79,16856
79.8,15709
144.5,19575
303,25596
345,19713
129,15850
126,22106
460,34849
152,18161
110,14507
179,20788
70,9170
93.8,14512
73,9169
197,19290
73,8147
67,13400
77,10685
136,30344
93,11857
330,37706
32.5,7294
47,13643
99,19856
115,13449
53,9785
46.5,11334
122,12390
130,13542
57.9,17294
94,21861
89.8,17685
142,15019
41,11885
86,8107
44,13403
132,9113
147,18035
40,10696
165,26228
44,7334
110,12427
36.5,10903
39.5,6135
51,9059
179.8,21541
48,10040
87,15990
80.6,13064
60.8,11055
126,30000
46,8847
37,9130
295,20785
86,16450
60.8,14466
102.5,17201
52,11776
131,15864
121,15797
92,14660
125,16781
129,14269
84,10123
80,9422
144.8,10056
111.5,12389
58.8,12895
235,25346
132,21675
95,13632
44.5,9753
118,18107
124,21618
41,10830
85,13077
135,14507
230,22116
126,13405
68,11481
142,15330
32.5,6674
150,25979
64,7615
78,8748
47,14959
66,11380
58.5,14811
